	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
242	265	266	Kira Lewis Jr.\lewiski01	PG	20	NOP	0.404	0.224	1.6	2.0	0.5	0.0	1.1	5.9	0.0	West
246	270	271	Kevon Looney\looneke01	C	25	GSW	0.543	0.0	6.4	1.3	0.5	0.7	0.6	5.8	0.0	West
254	278	279	Théo Maledon\maledth01	PG	20	OKC	0.227	0.111	1.6	1.0	0.3	0.1	1.0	2.4	0.0	West
256	280	281	Terance Mann\mannte01	SF	25	LAC	0.472	0.364	5.5	2.3	0.6	0.1	1.1	9.8	0.0	West
257	281	282	Tre Mann\manntr01	PG	20	OKC	0.419	0.373	1.8	0.5	0.6	0.3	0.7	7.4	0.0	West
260	284	285	Naji Marshall\marshna01	SF	24	NOP	0.311	0.125	2.8	1.1	0.4	0.2	1.0	3.5	0.0	West
265	289	290	Garrison Mathews\mathega01	SG	25	HOU	0.428	0.362	3.5	0.6	0.7	0.4	0.4	12.3	0.0	West
272	296	297	Jaden McDaniels\mcdanja02	PF	21	MIN	0.38	0.273	4.4	0.8	1.0	0.5	0.9	6.3	0.0	West
274	298	299	Doug McDermott\mcderdo01	PF	30	SAS	0.459	0.406	2.3	1.3	0.2	0.1	0.7	11.1	0.0	West
280	305	306	De'Anthony Melton\meltode01	SG	23	MEM	0.408	0.346	4.0	2.6	1.6	0.6	1.6	10.1	0.0	West
287	312	313	Davion Mitchell\mitchda01	PG	23	SAC	0.396	0.307	2.6	3.6	0.7	0.2	1.1	9.7	0.0	West
290	315	316	Malik Monk\monkma01	SG	23	LAL	0.447	0.361	2.8	2.2	0.7	0.3	1.3	9.7	0.0	West
295	320	321	Monte Morris\morrimo01	PG	26	DEN	0.484	0.369	2.7	4.3	0.8	0.2	1.4	12.8	0.0	West
297	322	323	Trey Murphy III\murphtr02	SF	21	NOP	0.363	0.373	2.2	0.5	0.3	0.1	0.4	4.4	0.0	West
